names,scores,logfoldchanges,pvals,pvals_adj,log2fc
SLPI,112.59306,5.7582245,0.0,0.0,5.7582245
HOOK2,111.94021,2.9059114,0.0,0.0,2.9059114
TPD52,111.696014,3.2104237,0.0,0.0,3.2104237
KRTCAP3,111.668144,5.501627,0.0,0.0,5.501627
SOX4,111.34154,2.344369,0.0,0.0,2.344369
CRIP2,110.97304,2.0603032,0.0,0.0,2.0603032
IRX3,110.83827,5.3022785,0.0,0.0,5.3022785
PYCR1,110.32456,3.7581387,0.0,0.0,3.7581387
SMIM14,110.25691,2.440254,0.0,0.0,2.440254
TPM1,110.00739,1.8890042,0.0,0.0,1.8890042
MYO6,109.88105,3.289467,0.0,0.0,3.289467
PTPRF,109.017,4.6250253,0.0,0.0,4.6250253
TCEB2,108.56177,1.5060526,0.0,0.0,1.5060526
PEBP1,108.39997,1.6265917,0.0,0.0,1.6265917
SLC9A3R1,107.93628,2.0188103,0.0,0.0,2.0188103
LAMTOR2,107.519066,1.8571116,0.0,0.0,1.8571116
MRPL55,107.21327,2.1316817,0.0,0.0,2.1316817
NDUFB10,107.19739,1.6493956,0.0,0.0,1.6493956
TSC22D1,106.62077,1.8757,0.0,0.0,1.8757
AR,106.619774,4.889048,0.0,0.0,4.889048
MDH2,106.61578,1.7669803,0.0,0.0,1.7669803
JUP,105.78615,3.2479153,0.0,0.0,3.2479153
NME3,105.71523,1.893496,0.0,0.0,1.893496
MUC1,105.66574,6.816137,0.0,0.0,6.816137
SELENBP1,105.46099,3.2628484,0.0,0.0,3.2628484
AP1M2,105.433426,6.6367855,0.0,0.0,6.6367855
CSTB,105.43305,1.7048446,0.0,0.0,1.7048446
TFF3,105.367966,5.841071,0.0,0.0,5.841071
ZNF593,105.32784,2.2345457,0.0,0.0,2.2345457
NDUFB4,105.07831,1.617149,0.0,0.0,1.617149
NENF,105.05504,2.1020563,0.0,0.0,2.1020563
MRPS26,104.933205,2.2134404,0.0,0.0,2.2134404
DHCR24,104.8026,5.2186513,0.0,0.0,5.2186513
LSM4,104.62972,1.8945205,0.0,0.0,1.8945205
TMEM141,104.20901,2.3026986,0.0,0.0,2.3026986
BLVRB,104.05578,2.1689036,0.0,0.0,2.1689036
GPRC5A,104.05522,4.8058715,0.0,0.0,4.8058715
TIMM13,104.03066,1.9626747,0.0,0.0,1.9626747
ERBB3,103.8892,6.2796636,0.0,0.0,6.2796636
TNFRSF12A,103.88542,2.7193935,0.0,0.0,2.7193935
PBX1,103.849396,3.1673274,0.0,0.0,3.1673274
C16orf13,103.638054,1.7375089,0.0,0.0,1.7375089
CD46,103.436745,1.9765747,0.0,0.0,1.9765747
S100A16,103.30208,2.6837244,0.0,0.0,2.6837244
C3orf14,102.82261,3.4866369,0.0,0.0,3.4866369
ENAH,102.47605,2.8924673,0.0,0.0,2.8924673
SDHC,102.24609,1.7524822,0.0,0.0,1.7524822
TRAF4,102.20529,2.421808,0.0,0.0,2.421808
MDK,102.18918,2.23652,0.0,0.0,2.23652
S100A11,101.8777,1.5008904,0.0,0.0,1.5008904
PRLR,101.59235,6.3851905,0.0,0.0,6.3851905
FKBP4,101.450066,1.97698,0.0,0.0,1.97698
NDUFB7,101.447525,1.6011732,0.0,0.0,1.6011732
NDUFA4,101.28803,1.3510604,0.0,0.0,1.3510604
LSM5,101.14591,1.7226597,0.0,0.0,1.7226597
CHMP4B,100.828804,2.0117083,0.0,0.0,2.0117083
MTA1,100.71818,3.665982,0.0,0.0,3.665982
HACD3,100.67322,2.2868466,0.0,0.0,2.2868466
ANKRD30A,100.572105,6.884275,0.0,0.0,6.884275
TXNDC17,100.51309,1.8028098,0.0,0.0,1.8028098
MAP3K13,100.42242,2.178587,0.0,0.0,2.178587
PON2,100.23722,2.3741603,0.0,0.0,2.3741603
SERF2,99.91301,0.97252893,0.0,0.0,0.97252893
BNIP3,99.80815,2.3376045,0.0,0.0,2.3376045
